,MMSI,STATUS,SPEED,COURSE,HEADING,LAT,LON,TIMESTAMP UTC,STATION
0,477959600,0,107,56,55,-21.59049,54.048869999999994,2012-10-29 00:04,TER
12,477959600,0,109,55,53,-21.58312,54.06052,2012-10-29 00:08,TER
21,256811000,0,122,55,61,-21.4005,54.32574,2012-10-29 00:37,TER
25,477959600,0,109,58,54,-21.53246,54.14186,2012-10-29 00:38,TER
30,256811000,0,123,54,61,-21.39453,54.334630000000004,2012-10-29 00:40,TER
40,477959600,0,108,53,52,-21.49077,54.205740000000006,2012-10-29 01:02,TER
41,256811000,0,123,56,59,-21.351329999999997,54.40003000000001,2012-10-29 01:02,TER
45,477959600,0,108,55,51,-21.48674,54.211909999999996,2012-10-29 01:05,TER
48,477959600,0,112,53,50,-21.440620000000003,54.28174,2012-10-29 01:31,TER
53,256811000,0,124,58,60,-21.294829999999997,54.49151,2012-10-29 01:32,TER
60,256811000,0,124,59,59,-21.29058,54.49887,2012-10-29 01:35,TER
63,477959600,0,112,55,51,-21.43265,54.29371999999999,2012-10-29 01:35,TER
78,256811000,0,121,60,59,-21.26511,54.54407,2012-10-29 01:49,TER
79,477959600,0,111,54,49,-21.40683,54.333369999999995,2012-10-29 01:49,TER
84,477959600,0,113,56,51,-21.4025,54.33979,2012-10-29 01:52,TER
86,256811000,0,120,60,60,-21.25819,54.556740000000005,2012-10-29 01:53,TER
92,477959600,0,113,55,52,-21.35216,54.418009999999995,2012-10-29 02:20,TER
103,477959600,0,113,55,50,-21.34444,54.430130000000005,2012-10-29 02:24,TER
115,477959600,0,109,58,55,-21.57603,54.07128,2012-10-29 00:12,TER
120,477959600,0,109,57,54,-21.572110000000002,54.07768000000001,2012-10-29 00:15,TER
125,477959600,0,110,55,52,-21.52487,54.153659999999995,2012-10-29 00:43,TER
127,256811000,0,123,55,60,-21.38795,54.344590000000004,2012-10-29 00:44,TER
136,477959600,0,109,55,52,-21.51732,54.16528,2012-10-29 00:47,TER
142,256811000,0,121,54,61,-21.377129999999998,54.360690000000005,2012-10-29 00:49,TER
144,256811000,0,122,55,58,-21.34291,54.41301,2012-10-29 01:07,TER
151,477959600,0,109,53,50,-21.479039999999998,54.2234,2012-10-29 01:09,TER
154,256811000,0,122,55,62,-21.3352,54.42496,2012-10-29 01:11,TER
162,477959600,0,108,58,52,-21.47136,54.23485,2012-10-29 01:13,TER
168,477959600,0,114,55,50,-21.422539999999998,54.30947,2012-10-29 01:41,TER
169,256811000,0,122,59,61,-21.279989999999998,54.51741,2012-10-29 01:41,TER
176,477959600,0,111,55,50,-21.41471,54.32148000000001,2012-10-29 01:45,TER
177,256811000,0,122,59,60,-21.27234,54.53099,2012-10-29 01:45,TER
182,256811000,0,118,61,60,-21.22949,54.60986,2012-10-29 02:11,TER
186,477959600,0,114,55,50,-21.36369,54.400290000000005,2012-10-29 02:13,TER
192,256811000,0,118,61,60,-21.22268,54.62313,2012-10-29 02:15,TER
193,477959600,0,115,56,51,-21.35949,54.40674,2012-10-29 02:16,TER
206,477959600,0,113,57,52,-21.33587,54.44315,2012-10-29 02:29,TER
218,477959600,0,114,56,51,-21.328110000000002,54.45521,2012-10-29 02:33,TER
226,477959600,0,109,56,53,-21.597920000000002,54.03735,2012-10-29 00:00,TER
236,477959600,0,108,61,53,-21.56482,54.0895,2012-10-29 00:19,TER
247,477959600,0,107,58,54,-21.5575,54.10115,2012-10-29 00:23,TER
258,477959600,0,107,57,53,-21.50981,54.176730000000006,2012-10-29 00:51,TER
263,256811000,0,121,55,60,-21.36884,54.37311,2012-10-29 00:53,TER
266,477959600,0,108,57,52,-21.505860000000002,54.182959999999994,2012-10-29 00:54,TER
272,256811000,0,123,55,61,-21.36044,54.38596999999999,2012-10-29 00:58,TER
273,477959600,0,107,54,51,-21.498479999999997,54.19441,2012-10-29 00:58,TER
277,256811000,0,124,58,60,-21.3105,54.464859999999994,2012-10-29 01:24,TER
279,477959600,0,112,55,51,-21.45263,54.26336,2012-10-29 01:24,TER
286,256811000,0,123,58,61,-21.30272,54.47798,2012-10-29 01:28,TER
287,477959600,0,113,58,51,-21.444860000000002,54.27526999999999,2012-10-29 01:28,TER
296,256811000,0,119,59,60,-21.25424,54.56381,2012-10-29 01:56,TER
297,477959600,0,113,58,53,-21.39475,54.351890000000004,2012-10-29 01:56,TER
305,256811000,0,119,59,60,-21.247020000000003,54.576930000000004,2012-10-29 02:00,TER
306,477959600,0,111,56,51,-21.38719,54.36404,2012-10-29 02:00,TER
315,477959600,0,114,54,50,-21.30663,54.48795,2012-10-29 02:45,TER
327,477959600,0,114,55,51,-21.29864,54.499990000000004,2012-10-29 02:49,TER
336,477959600,0,112,55,49,-21.218989999999998,54.61776999999999,2012-10-29 03:33,TER
343,477959600,0,115,57,51,-21.32079,54.46641999999999,2012-10-29 02:37,TER
354,477959600,0,113,58,51,-21.31415,54.476659999999995,2012-10-29 02:41,TER
360,477959600,0,110,54,50,-21.26679,54.54871,2012-10-29 03:07,TER
374,477959600,0,110,55,50,-21.25891,54.56036999999999,2012-10-29 03:11,TER
386,477959600,0,109,53,50,-21.250320000000002,54.572630000000004,2012-10-29 03:16,TER
391,477959600,0,111,53,48,-21.24309,54.58331999999999,2012-10-29 03:20,TER
398,477959600,0,111,52,48,-21.21088,54.62927,2012-10-29 03:37,TER
453,477959600,0,106,57,53,-21.55086,54.11189,2012-10-29 00:27,TER
460,477959600,0,109,57,54,-21.54693,54.118069999999996,2012-10-29 00:30,TER
468,477959600,0,110,57,53,-21.53967,54.12992,2012-10-29 00:34,TER
469,256811000,0,122,56,61,-21.32694,54.43808000000001,2012-10-29 01:15,TER
472,477959600,0,110,57,51,-21.467370000000003,54.241040000000005,2012-10-29 01:16,TER
478,477959600,0,110,55,51,-21.46036,54.25172,2012-10-29 01:20,TER
480,256811000,0,122,57,60,-21.31814,54.45219,2012-10-29 01:20,TER
487,256811000,0,118,61,59,-21.23989,54.5902,2012-10-29 02:04,TER
489,477959600,0,113,56,50,-21.379379999999998,54.37607,2012-10-29 02:05,TER
494,256811000,0,118,60,60,-21.2361,54.597190000000005,2012-10-29 02:07,TER
502,477959600,0,112,55,52,-21.37092,54.38901,2012-10-29 02:09,TER
512,477959600,0,113,55,52,-21.29065,54.51211,2012-10-29 02:53,TER
520,477959600,0,112,55,52,-21.2864,54.518530000000005,2012-10-29 02:56,TER
793,477959600,0,111,54,48,-21.278879999999997,54.530590000000004,2012-10-29 03:00,TER
805,477959600,0,113,59,52,-21.27084,54.542280000000005,2012-10-29 03:04,TER
816,477959600,0,111,56,50,-21.234289999999998,54.59548,2012-10-29 03:24,TER
824,477959600,0,112,55,49,-21.226999999999997,54.60629,2012-10-29 03:28,TER
2218,354740000,0,95,235,237,-21.0705,54.623169999999995,2012-10-29 17:14,TER
2223,354740000,0,95,236,237,-21.076999999999998,54.61317,2012-10-29 17:18,TER
2230,354740000,0,98,234,239,-21.1065,54.56766999999999,2012-10-29 17:38,TER
2235,354740000,0,99,237,239,-21.11283,54.5575,2012-10-29 17:42,TER
2243,354740000,0,100,234,238,-21.146,54.50317,2012-10-29 18:04,TER
2248,354740000,0,99,234,238,-21.15267,54.493,2012-10-29 18:08,TER
2251,354740000,0,101,236,239,-21.18117,54.44967,2012-10-29 18:26,TER
2259,354740000,0,101,234,240,-21.18817,54.43899999999999,2012-10-29 18:30,TER
2330,354740000,0,98,237,242,-21.11917,54.5475,2012-10-29 17:46,TER
2339,354740000,0,99,239,240,-21.127,54.534169999999996,2012-10-29 17:51,TER
2349,354740000,0,100,234,238,-21.159670000000002,54.4825,2012-10-29 18:12,TER
2352,354740000,0,100,233,238,-21.1635,54.47683000000001,2012-10-29 18:15,TER
2359,354740000,0,100,239,240,-21.205170000000003,54.41117,2012-10-29 18:41,TER
2371,354740000,0,100,237,241,-21.21183,54.3995,2012-10-29 18:46,TER
2450,354740000,0,95,235,238,-21.08367,54.603,2012-10-29 17:23,TER
2457,354740000,0,95,236,237,-21.08967,54.593669999999996,2012-10-29 17:27,TER
2462,354740000,0,102,236,239,-21.195,54.428169999999994,2012-10-29 18:34,TER
2467,354740000,0,101,235,241,-21.19867,54.42233,2012-10-29 18:37,TER
2481,354740000,0,102,235,237,-21.28217,54.28767,2012-10-29 19:31,TER
2486,354740000,0,97,235,239,-21.0965,54.5835,2012-10-29 17:31,TER
2492,354740000,0,96,235,239,-21.103,54.57317,2012-10-29 17:35,TER
2499,354740000,0,99,239,242,-21.133000000000003,54.52417,2012-10-29 17:55,TER
2507,354740000,0,99,235,238,-21.139329999999998,54.51333,2012-10-29 18:00,TER
2513,354740000,0,101,235,239,-21.1705,54.46617,2012-10-29 18:19,TER
2518,354740000,0,100,236,239,-21.177329999999998,54.4555,2012-10-29 18:23,TER
2533,354740000,0,100,239,241,-21.2205,54.384330000000006,2012-10-29 18:52,TER
2538,354740000,0,99,234,237,-21.2505,54.33583,2012-10-29 19:11,TER
2548,354740000,0,99,234,237,-21.25733,54.32533000000001,2012-10-29 19:16,TER
2554,354740000,0,101,234,238,-21.289170000000002,54.277,2012-10-29 19:35,TER
2561,354740000,0,101,235,237,-21.293000000000003,54.27117,2012-10-29 19:38,TER
2568,354740000,0,101,233,237,-21.3,54.26067,2012-10-29 19:42,TER
2574,660000800,0,83,265,511,-21.25654,54.590990000000005,2012-10-29 20:00,TER
2575,354740000,0,99,236,241,-21.32967,54.214330000000004,2012-10-29 20:01,TER
2581,660000800,0,79,264,511,-21.25704,54.58529,2012-10-29 20:03,TER
2588,354740000,0,98,236,241,-21.336170000000003,54.2035,2012-10-29 20:05,TER
2594,354740000,0,99,238,241,-21.375999999999998,54.1385,2012-10-29 20:31,TER
2604,354740000,0,99,240,241,-21.22733,54.372330000000005,2012-10-29 18:56,TER
2608,354740000,0,99,237,238,-21.230829999999997,54.3665,2012-10-29 18:59,TER
2619,354740000,0,99,234,237,-21.2375,54.35617,2012-10-29 19:03,TER
2622,354740000,0,100,235,237,-21.26417,54.31483000000001,2012-10-29 19:20,TER
2632,354740000,0,101,235,238,-21.27117,54.304159999999996,2012-10-29 19:24,TER
2637,354740000,0,102,235,237,-21.275,54.29833000000001,2012-10-29 19:27,TER
2642,660000800,0,84,265,511,-21.254929999999998,54.612480000000005,2012-10-29 19:52,TER
2645,354740000,0,101,234,239,-21.316,54.23583000000001,2012-10-29 19:52,TER
2648,660000800,0,84,265,511,-21.25574,54.60163000000001,2012-10-29 19:56,TER
2650,354740000,0,101,235,238,-21.32283,54.225,2012-10-29 19:56,TER
2657,660000800,0,79,264,511,-21.25799,54.57513,2012-10-29 20:07,TER
2663,354740000,0,99,235,241,-21.342670000000002,54.19283000000001,2012-10-29 20:09,TER
2668,660000800,0,82,265,511,-21.25891,54.56561,2012-10-29 20:11,TER
2670,354740000,0,98,237,241,-21.34617,54.187169999999995,2012-10-29 20:12,TER
2688,354740000,0,97,235,240,-21.41583,54.073,2012-10-29 20:58,TER
2689,660000800,0,79,263,511,-21.27233,54.45542,2012-10-29 20:58,TER
2701,354740000,0,99,235,240,-21.42267,54.0625,2012-10-29 21:02,TER
2702,660000800,0,78,262,511,-21.27364,54.4455,2012-10-29 21:02,TER
2705,660000800,0,80,272,511,-21.278000000000002,54.34779,2012-10-29 21:44,TER
2709,660002600,7,20,209,198,-21.826320000000003,54.623369999999994,2012-10-29 21:45,TER
2719,354740000,0,98,235,237,-21.24367,54.34633,2012-10-29 19:07,TER
2733,660000800,0,81,266,511,-21.2539,54.627109999999995,2012-10-29 19:46,TER
2736,354740000,0,101,234,239,-21.307170000000003,54.24983,2012-10-29 19:46,TER
2741,354740000,0,101,235,239,-21.310670000000002,54.244,2012-10-29 19:49,TER
2755,660000800,0,80,262,511,-21.262620000000002,54.529180000000004,2012-10-29 20:26,TER
2759,354740000,0,99,236,241,-21.3695,54.14917,2012-10-29 20:27,TER
2765,660000800,0,79,262,511,-21.26325,54.52364,2012-10-29 20:29,TER
2776,354740000,0,98,237,241,-21.3925,54.11167,2012-10-29 20:42,TER
2777,660000800,0,79,259,511,-21.26729,54.491609999999994,2012-10-29 20:42,TER
2786,354740000,0,99,238,242,-21.399,54.101000000000006,2012-10-29 20:47,TER
2787,660000800,0,81,263,511,-21.268720000000002,54.48154,2012-10-29 20:47,TER
2794,354740000,0,99,236,239,-21.4495,54.01883,2012-10-29 21:20,TER
2795,660000800,0,80,268,511,-21.27829,54.404469999999996,2012-10-29 21:20,TER
2804,660000800,0,80,267,511,-21.27864,54.3943,2012-10-29 21:24,TER
2805,354740000,0,97,235,239,-21.456670000000003,54.0075,2012-10-29 21:25,TER
2810,660000800,0,80,267,511,-21.2788,54.388740000000006,2012-10-29 21:27,TER
2816,354740000,0,97,234,237,-21.4975,53.9425,2012-10-29 21:52,TER
2818,660000800,0,81,271,511,-21.277279999999998,54.3289,2012-10-29 21:52,TER
2821,660002600,7,5,223,166,-21.82785,54.62238000000001,2012-10-29 21:53,TER
2826,660000800,0,79,263,511,-21.2644,54.5134,2012-10-29 20:33,TER
2832,354740000,0,98,236,241,-21.37967,54.132830000000006,2012-10-29 20:34,TER
2841,660000800,0,79,262,511,-21.26584,54.50246,2012-10-29 20:38,TER
2844,354740000,0,98,238,241,-21.386,54.122330000000005,2012-10-29 20:38,TER
2855,354740000,0,98,236,242,-21.405829999999998,54.089330000000004,2012-10-29 20:51,TER
2857,660000800,0,80,263,511,-21.27025,54.470690000000005,2012-10-29 20:51,TER
2864,354740000,0,98,236,240,-21.409329999999997,54.08367,2012-10-29 20:54,TER
2867,660000800,0,80,262,511,-21.270979999999998,54.46541,2012-10-29 20:54,TER
2873,354740000,0,99,237,240,-21.439329999999998,54.03533,2012-10-29 21:13,TER
2875,660000800,0,79,261,511,-21.27674,54.42001,2012-10-29 21:13,TER
2883,354740000,0,99,236,239,-21.442829999999997,54.029669999999996,2012-10-29 21:16,TER
2886,660000800,0,77,263,511,-21.27735,54.414590000000004,2012-10-29 21:16,TER
2896,354740000,0,97,235,239,-21.46367,53.99633000000001,2012-10-29 21:29,TER
2904,660000800,0,81,267,511,-21.27917,54.378609999999995,2012-10-29 21:31,TER
2907,354740000,0,97,235,240,-21.47033,53.986000000000004,2012-10-29 21:34,TER
2911,660002600,7,6,240,167,-21.8284,54.62151,2012-10-29 22:00,TER
2915,354740000,0,97,234,237,-21.51033,53.92267,2012-10-29 22:00,TER
2919,660000800,0,80,272,511,-21.27673,54.30901,2012-10-29 22:00,TER
2927,660000800,0,80,270,511,-21.27654,54.3034,2012-10-29 22:03,TER
2930,660002600,7,3,223,185,-21.82865,54.62116999999999,2012-10-29 22:04,TER
2931,354740000,0,98,234,237,-21.51667,53.913000000000004,2012-10-29 22:04,TER
2936,660002600,7,5,217,229,-21.82892,54.62096,2012-10-29 22:07,TER
2941,660000800,0,80,264,511,-21.25986,54.5553,2012-10-29 20:15,TER
2943,354740000,0,99,236,241,-21.352829999999997,54.1765,2012-10-29 20:16,TER
2948,660000800,0,80,262,511,-21.260379999999998,54.54981,2012-10-29 20:18,TER
2956,354740000,0,99,239,241,-21.3595,54.16583000000001,2012-10-29 20:20,TER
2958,660000800,0,79,263,511,-21.26148,54.539469999999994,2012-10-29 20:22,TER
2962,354740000,0,99,238,241,-21.363000000000003,54.16,2012-10-29 20:23,TER
2966,354740000,0,98,235,240,-21.426170000000003,54.05667,2012-10-29 21:05,TER
2967,660000800,0,78,261,511,-21.27429,54.44016,2012-10-29 21:05,TER
2981,354740000,0,98,234,240,-21.43267,54.04617,2012-10-29 21:09,TER
2982,660000800,0,78,262,511,-21.27554,54.43003,2012-10-29 21:09,TER
2992,660000800,0,79,271,511,-21.27909,54.369209999999995,2012-10-29 21:35,TER
2999,660002600,7,81,199,199,-21.8111,54.628519999999995,2012-10-29 21:37,TER
3003,354740000,0,97,235,239,-21.476329999999997,53.976169999999996,2012-10-29 21:38,TER
3010,660000800,0,80,273,511,-21.278470000000002,54.35808000000001,2012-10-29 21:40,TER
3014,660002600,7,82,194,197,-21.82064,54.625330000000005,2012-10-29 21:41,TER
3019,354740000,0,97,235,239,-21.482670000000002,53.965830000000004,2012-10-29 21:42,TER
3028,354740000,0,98,236,237,-21.55067,53.85983,2012-10-29 22:26,TER
3030,660000800,0,79,274,511,-21.27242,54.24569,2012-10-29 22:27,TER
3032,660002600,7,6,229,198,-21.83124,54.6187,2012-10-29 22:28,TER
3037,660000800,0,81,274,511,-21.272029999999997,54.23945,2012-10-29 22:30,TER
3039,354740000,0,99,237,237,-21.55733,53.849169999999994,2012-10-29 22:30,TER
3042,354740000,0,100,236,237,-21.59667,53.7855,2012-10-29 22:56,TER
3044,660002600,7,3,246,213,-21.83311,54.61553000000001,2012-10-29 22:57,TER
3045,660000800,0,77,274,511,-21.26645,54.17661999999999,2012-10-29 22:57,TER
3053,660000800,0,81,274,511,-21.27444,54.27169,2012-10-29 22:16,TER
3059,354740000,0,98,235,237,-21.5405,53.87583000000001,2012-10-29 22:19,TER
3060,660002600,7,6,219,191,-21.830379999999998,54.619569999999996,2012-10-29 22:19,TER
3063,660000800,0,80,275,511,-21.27362,54.261340000000004,2012-10-29 22:20,TER
3065,660002600,7,2,161,194,-21.83062,54.61936,2012-10-29 22:22,TER
3066,354740000,0,98,236,237,-21.54417,53.87033,2012-10-29 22:22,TER
3069,660000800,0,81,276,511,-21.27321,54.25585,2012-10-29 22:23,TER
3077,354740000,0,99,236,237,-21.56083,53.84333,2012-10-29 22:33,TER
3080,660000800,0,77,273,511,-21.27125,54.22931,2012-10-29 22:34,TER
3087,354740000,0,100,235,237,-21.5675,53.83266999999999,2012-10-29 22:37,TER
3090,660000800,0,77,273,511,-21.27047,54.21935,2012-10-29 22:38,TER
3097,660000800,0,79,276,511,-21.26833,54.19641,2012-10-29 22:48,TER
3104,660002600,7,6,276,215,-21.83275,54.616119999999995,2012-10-29 22:51,TER
3107,354740000,0,100,235,237,-21.59,53.796330000000005,2012-10-29 22:52,TER
3116,354740000,0,98,236,235,-21.629170000000002,53.7325,2012-10-29 23:17,TER
3124,660002600,7,4,228,238,-21.8346,54.61172,2012-10-29 23:29,TER
3126,354740000,0,99,233,235,-21.650170000000003,53.699169999999995,2012-10-29 23:31,TER
3130,660002600,7,5,253,230,-21.834789999999998,54.61104,2012-10-29 23:33,TER
3131,354740000,0,98,234,234,-21.6545,53.69266999999999,2012-10-29 23:34,TER
3132,660000800,0,79,277,511,-21.258000000000003,54.09263000000001,2012-10-29 23:34,TER
3134,660000800,0,76,278,511,-21.25071,54.03521,2012-10-29 23:59,TER
3145,660000800,0,76,278,511,-21.249470000000002,54.02684,2012-10-30 00:03,TER
3146,660002600,7,7,270,214,-21.83598,54.60729,2012-10-30 00:04,TER
3151,660000800,0,78,278,511,-21.248379999999997,54.01923000000001,2012-10-30 00:06,TER
3152,660000800,0,75,278,511,-21.24576,54.0004,2012-10-30 00:15,TER
3155,660002600,7,4,279,266,-21.83645,54.6057,2012-10-30 00:16,TER
3166,354740000,0,99,236,236,-21.603170000000002,53.7745,2012-10-29 23:00,TER
3171,660000800,0,78,275,511,-21.26538,54.16515,2012-10-29 23:02,TER
3174,354740000,0,99,238,236,-21.60667,53.76883,2012-10-29 23:03,TER
3175,354740000,0,98,235,235,-21.63283,53.72683000000001,2012-10-29 23:20,TER
3180,354740000,0,98,235,235,-21.639329999999998,53.716330000000006,2012-10-29 23:24,TER
3182,660002600,7,6,272,242,-21.83452,54.6121,2012-10-29 23:26,TER
3185,354740000,0,98,238,235,-21.64333,53.70984,2012-10-29 23:27,TER
3187,354740000,0,99,234,234,-21.68233,53.64983,2012-10-29 23:51,TER
3194,660002600,7,5,281,240,-21.83548,54.60853,2012-10-29 23:53,TER
3196,660000800,0,77,277,511,-21.25205,54.04498,2012-10-29 23:55,TER
3199,354740000,0,101,234,234,-21.689329999999998,53.63916999999999,2012-10-29 23:56,TER
3202,660002600,7,6,254,214,-21.83567,54.608059999999995,2012-10-29 23:57,TER
3210,660002600,7,5,213,226,-21.83621,54.60674,2012-10-30 00:08,TER
3215,660000800,0,77,278,511,-21.246979999999997,54.00934,2012-10-30 00:11,TER
3220,660002600,7,4,228,239,-21.836389999999998,54.60615,2012-10-30 00:12,TER
3236,660002600,7,5,190,246,-21.83672,54.604490000000006,2012-10-30 00:26,TER
3237,660000800,0,77,279,511,-21.24195,53.97195,2012-10-30 00:27,TER
3250,660000800,0,78,278,511,-21.23285,53.90609,2012-10-30 00:56,TER
3257,660002600,7,3,227,231,-21.83878,54.60065,2012-10-30 00:59,TER
3262,660002600,7,5,268,244,-21.83887,54.60037,2012-10-30 01:02,TER
3268,660002600,7,60,142,140,-21.8523,54.61017,2012-10-30 01:22,TER
3276,660002600,7,57,141,139,-21.85749,54.614580000000004,2012-10-30 01:26,TER
3280,354740000,0,97,235,237,-21.50433,53.93216999999999,2012-10-29 21:56,TER
3284,660000800,0,80,273,511,-21.276989999999998,54.318630000000006,2012-10-29 21:56,TER
3286,660002600,7,4,240,152,-21.82824,54.621809999999996,2012-10-29 21:57,TER
3293,660000800,0,82,275,511,-21.27585,54.29153,2012-10-29 22:08,TER
3294,354740000,0,98,235,237,-21.5235,53.9025,2012-10-29 22:08,TER
3299,354740000,0,98,234,237,-21.52717,53.897,2012-10-29 22:11,TER
3301,660002600,7,7,228,232,-21.82939,54.62045,2012-10-29 22:11,TER
3303,660000800,0,80,274,511,-21.27525,54.282030000000006,2012-10-29 22:12,TER
3313,354740000,0,98,236,237,-21.53383,53.8865,2012-10-29 22:15,TER
3317,660000800,0,77,275,511,-21.264570000000003,54.15745,2012-10-29 23:05,TER
3325,354740000,0,98,234,234,-21.671329999999998,53.667,2012-10-29 23:44,TER
3328,660002600,7,3,184,232,-21.83523,54.60941,2012-10-29 23:45,TER
3331,354740000,0,100,235,234,-21.677670000000003,53.657169999999994,2012-10-29 23:48,TER
3337,660002600,7,6,264,234,-21.83537,54.60892,2012-10-29 23:49,TER
3338,660000800,0,78,277,511,-21.2538,54.057880000000004,2012-10-29 23:49,TER
3343,660000800,0,79,275,511,-21.24059,53.96058000000001,2012-10-30 00:32,TER
3347,660002600,7,6,258,212,-21.83709,54.60366,2012-10-30 00:33,TER
3357,660002600,7,7,243,234,-21.83725,54.60321,2012-10-30 00:37,TER
3359,660002600,7,34,200,163,-21.83904,54.59891999999999,2012-10-30 01:11,TER
3364,660002600,7,60,138,139,-21.841720000000002,54.60106999999999,2012-10-30 01:14,TER
3369,660002600,7,62,139,140,-21.84616,54.604980000000005,2012-10-30 01:17,TER
3378,566152000,4,113,220,221,-21.238120000000002,54.576609999999995,2012-10-30 02:02,TER
3385,566152000,4,113,220,221,-21.24858,54.56711,2012-10-30 02:06,TER
3391,354740000,0,98,234,238,-21.48883,53.956,2012-10-29 21:46,TER
3395,660002600,7,11,205,194,-21.82711,54.62299,2012-10-29 21:48,TER
3396,660000800,0,79,270,511,-21.27756,54.336909999999996,2012-10-29 21:49,TER
3404,660002600,7,6,249,256,-21.83194,54.61735,2012-10-29 22:41,TER
3407,354740000,0,99,234,236,-21.57483,53.821169999999995,2012-10-29 22:42,TER
3408,660000800,0,78,276,511,-21.26987,54.210969999999996,2012-10-29 22:42,TER
3414,660000800,0,78,274,511,-21.269170000000003,54.204069999999994,2012-10-29 22:45,TER
3416,660002600,7,6,217,191,-21.83237,54.61676,2012-10-29 22:45,TER
3418,354740000,0,99,236,237,-21.581329999999998,53.8105,2012-10-29 22:46,TER
3425,660002600,7,6,302,246,-21.83486,54.61054,2012-10-29 23:37,TER
3428,354740000,0,98,233,235,-21.66183,53.68133,2012-10-29 23:38,TER
3432,354740000,0,98,234,234,-21.66667,53.67417,2012-10-29 23:41,TER
3442,660002600,7,5,220,203,-21.8376,54.60258,2012-10-30 00:42,TER
3448,660000800,0,78,276,511,-21.2364,53.930009999999996,2012-10-30 00:46,TER
3455,660002600,7,2,272,112,-21.860889999999998,54.61798,2012-10-30 01:30,TER
3462,660002600,7,34,11,11,-21.86001,54.617430000000006,2012-10-30 01:34,TER
3469,566152000,4,113,221,222,-21.22305,54.59059,2012-10-30 01:55,TER
3471,566152000,4,113,220,221,-21.228579999999997,54.585409999999996,2012-10-30 01:58,TER
3474,660000800,0,75,276,511,-21.215120000000002,53.76764,2012-10-30 01:58,TER
3477,660000800,0,79,231,511,-21.2159,53.71229,2012-10-30 02:24,TER
3481,660000800,0,77,223,511,-21.21997,53.70791,2012-10-30 02:27,TER
3483,566152000,4,113,220,222,-21.29968,54.520230000000005,2012-10-30 02:27,TER
3491,566152000,4,112,221,221,-21.305239999999998,54.515119999999996,2012-10-30 02:30,TER
3493,660000800,0,77,221,511,-21.2252,53.70284,2012-10-30 02:30,TER
3500,660000800,0,77,211,511,-21.27383,53.67115,2012-10-30 02:57,TER
3505,566152000,4,112,221,222,-21.19409,54.618,2012-10-30 01:43,TER
3511,660002600,7,20,40,55,-21.8526,54.62455,2012-10-30 01:47,TER
3514,566152000,4,113,221,221,-21.20421,54.60828000000001,2012-10-30 01:47,TER
3520,660002600,7,56,42,49,-21.849220000000003,54.62815,2012-10-30 01:50,TER
3521,566152000,4,113,221,222,-21.2128,54.60018,2012-10-30 01:51,TER
3526,566152000,4,113,220,221,-21.27893,54.53921999999999,2012-10-30 02:19,TER
3531,660000800,0,77,241,511,-21.210420000000003,53.7205,2012-10-30 02:20,TER
3538,566152000,4,113,220,222,-21.28935,54.52978,2012-10-30 02:23,TER
3546,660000800,0,75,212,511,-21.25937,53.68075,2012-10-30 02:49,TER
3548,566152000,4,112,220,221,-21.35114,54.472809999999996,2012-10-30 02:49,TER
3554,660000800,0,76,212,511,-21.26538,53.676790000000004,2012-10-30 02:52,TER
3558,566152000,4,112,221,221,-21.361439999999998,54.46318,2012-10-30 02:53,TER
3563,566152000,4,113,221,221,-21.36693,54.45805,2012-10-30 02:56,TER
3573,566152000,4,114,221,222,-21.41414,54.41443,2012-10-30 03:15,TER
3580,566152000,4,114,221,223,-21.41972,54.40925,2012-10-30 03:18,TER
3586,566152000,4,116,230,231,-21.474,54.34321,2012-10-30 03:43,TER
3592,566152000,4,117,230,231,-21.478820000000002,54.336969999999994,2012-10-30 03:46,TER
3607,566152000,4,119,230,232,-21.522389999999998,54.28156,2012-10-30 04:06,TER
3614,566152000,4,121,230,231,-21.52745,54.27515,2012-10-30 04:09,TER
3617,660000800,0,75,277,511,-21.24419,53.989219999999996,2012-10-30 00:20,TER
3632,660002600,7,7,258,216,-21.8382,54.601569999999995,2012-10-30 00:51,TER
3633,660000800,0,76,278,511,-21.23465,53.91809,2012-10-30 00:51,TER
3640,660002600,7,5,241,220,-21.83837,54.60125,2012-10-30 00:54,TER
3663,660002600,7,36,37,57,-21.85693,54.61991999999999,2012-10-30 01:39,TER
3664,566152000,4,112,222,221,-21.18394,54.62777,2012-10-30 01:39,TER
3666,660000800,0,78,276,511,-21.21945,53.80835,2012-10-30 01:40,TER
3673,660002600,7,56,53,53,-21.854689999999998,54.62245,2012-10-30 01:43,TER
3678,566152000,4,113,221,221,-21.25897,54.557669999999995,2012-10-30 02:10,TER
3687,566152000,4,113,221,222,-21.26858,54.548809999999996,2012-10-30 02:14,TER
3694,660000800,0,75,211,511,-21.24665,53.68903,2012-10-30 02:42,TER
3696,566152000,4,112,220,221,-21.3354,54.48743,2012-10-30 02:42,TER
